City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
542,Boende,-0.22,20.87,73.47,94,35,2.3,CD,1604077927
546,Souillac,-20.52,57.52,69.8,52,75,14.99,MU,1604077264
550,Camaná,-16.62,-72.71,69.75,61,54,10.16,PE,1604077928
555,Mahébourg,-20.41,57.7,69.8,52,75,14.99,MU,1604077759
559,Tabas,33.6,56.92,68,19,0,4.7,IR,1604077930
562,Hambantota,6.12,81.12,79.88,81,81,11.21,LK,1604077551
567,Ormara,25.21,64.64,77.14,65,0,11.07,PK,1604077889
573,Saldanha,-33.01,17.94,64.4,48,0,21.92,ZA,1604077753
576,Bereda,43.27,-7.54,68,68,20,9.17,ES,1604077934
577,Port-Gentil,-0.72,8.78,84.2,74,40,14.99,GA,1604077935
581,Lagoa,39.05,-27.98,69.21,89,100,31.18,PT,1604077378
589,Bayonet Point,28.33,-82.68,73,51,0,1.99,US,1604077937
596,Dulce Nombre de Culmí,15.1,-85.53,84.2,70,40,2.04,HN,1604077939
599,Amapá,1,-52,98.38,30,59,7.72,BR,1604077940
600,Eresós,39.17,25.93,66.2,72,40,5.82,GR,1604077940
602,Cross Lanes,38.42,-81.79,50,75,90,8.05,US,1604077941
609,Hofn,64.25,-15.21,41,86,20,5.82,IS,1604077484
610,Beïnamar,8.67,15.38,82.89,42,11,1.34,TD,1604077943
626,La Rioja,42.25,-2.5,66.2,55,0,1.03,ES,1604077762
627,Walvis Bay,-22.96,14.51,59,81,36,20.45,NA,1604077946
628,Aripuanã,-9.17,-60.63,85.64,72,93,3.11,BR,1604077946
630,Roald,62.58,6.13,53.6,66,75,11.41,NO,1604077947
634,Hamilton,39.18,-84.53,48.2,61,90,9.17,US,1604077886
635,Khomeyn,33.64,50.08,53.8,37,0,0.85,IR,1604077948
639,Sambava,-14.27,50.17,74.1,74,46,18.32,MG,1604077949
646,São Filipe,14.9,-24.5,84.29,54,52,13.31,CV,1604077950
651,Husavik,66.04,-17.34,39.2,93,90,3.36,IS,1604077951
657,Gus-Zheleznyy,55.06,41.17,41.45,91,95,3.94,RU,1604077954
664,Awjilah,29.11,21.29,72.91,48,21,8.84,LY,1604077957
670,Cumana,10.46,-64.18,95,59,83,14.99,VE,1604077958
671,Thinadhoo,0.53,72.93,83.25,75,31,10.96,MV,1604077959
677,Geraldton,-28.77,114.6,68,88,0,6.93,AU,1604077445
683,Ratnagiri,16.98,73.3,79.59,74,53,6.55,IN,1604077756
684,Guarapari,-20.67,-40.5,84.2,70,40,17.22,BR,1604077258
689,Vestmannaeyjar,63.44,-20.27,42.8,87,75,26.4,IS,1604077805
690,Kokkola,63.84,23.13,39,82,0,4.7,FI,1604077962
696,Aleksandrov Gay,50.15,48.57,48.13,50,100,12.62,RU,1604077964
697,Pangnirtung,66.15,-65.71,8.76,84,33,0.2,CA,1604077468
699,Tambura,5.6,27.47,70.81,92,58,2.59,SS,1604077964
700,Carauari,-4.88,-66.9,98.26,40,45,3.33,BR,1604077756
703,Gunjur,13.2,-16.73,95,50,0,3.44,GM,1604077965
